1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
1530.935492,3.413e-29,          1 1 0,          1 0 0,  9  3  6      ,  9  4  5      
1531.01342,1.368e-25,          0 1 0,          0 0 0, 10  3  7      ,  9  6  4      
1531.12878,2.958e-23,          0 2 0,          0 1 0,  1  1  1      ,  2  0  2      
1531.176464,4.476e-30,          1 1 0,          0 0 1,  6  4  3      ,  6  4  2      
1531.307623,5.101e-28,          0 1 1,          0 0 1,  6  2  4      ,  6  3  3      
1531.36766,2.345e-29,          0 1 0,          0 0 0, 17  9  9      , 17 10  8      
1531.486151,7.033e-29,          0 1 0,          0 0 0, 17  9  8      , 17 10  7      
1531.495163,1.659e-29,          0 1 0,          0 1 0, 13 11  2      , 12  6  7      
1531.567389,4.814e-25,          0 1 0,          0 0 0, 11  6  6      , 12  5  7      
1531.585292,1.226e-28,          0 2 0,          0 1 0, 12  2 10      , 11  5  7      
1531.63816,1.488e-20,          0 1 0,          0 0 0,  7  3  4      ,  7  4  3      
1531.66419,2.079e-22,          0 1 0,          0 0 0,  7  0  7      ,  6  3  4      
1531.808282,4.165e-30,          1 1 0,          0 0 1,  4  4  1      ,  4  4  0      
1531.895084,1.44e-29,          0 1 0,          0 0 0, 19  7 12      , 19  8 11      
1531.951012,1.118e-28,          0 1 1,          0 0 1,  7  2  5      ,  7  3  4      
1532.059161,6.095e-30,          0 4 0,          0 3 0,  3  2  1      ,  4  1  4      
1532.23176,8.241e-23,          0 1 0,          0 0 0,  4  0  4      ,  3  3  1      
1532.242383,1.427e-27,          1 1 0,          1 0 0,  5  2  3      ,  5  3  2      
1532.290103,7.6e-29,          0 1 1,          0 2 0,  6  2  4      ,  6  6  1      
1532.37183,4.022e-28,          0 0 0,          0 0 0, 19  4 15      , 18  1 18      
1532.441031,4.743e-29,          0 1 1,          0 0 1,  8  3  5      ,  8  4  4      
1532.597172,4.319e-28,          0 1 0,          0 0 0, 16  9  8      , 16 10  7      
1532.632052,4.141e-30,          0 0 0,          0 0 0, 15 12  3      , 14  7  8      
1532.64364,1.449e-28,          0 1 0,          0 0 0, 16  9  7      , 16 10  6      
1532.692555,3.493e-29,          0 3 0,          0 2 0,  9  4  5      , 10  3  8      
1532.735509,3.108e-28,          1 1 0,          1 0 0,  6  2  4      ,  6  3  3      
1532.855722,1.651e-29,          0 1 0,          0 0 0, 17  6 11      , 18  5 14      
1532.89038,2.452e-23,          0 1 0,          0 0 0, 12  3  9      , 12  4  8      
1533.05706,1.828e-25,          0 1 0,          0 0 0, 12  5  7      , 13  4 10      
1533.18227,4.583e-20,          0 1 0,          0 0 0,  3  1  3      ,  3  2  2      
1533.199306,1.75e-27,          0 3 0,          0 2 0,  4  2  2      ,  3  3  1      
1533.658179,3.981e-29,          1 1 0,          0 0 1,  4  1  3      ,  4  1  4      
1533.774092,7.878e-28,          0 1 0,          0 0 0, 15  9  7      , 15 10  6      
1533.787824,2.363e-27,          0 1 0,          0 0 0, 15  9  6      , 15 10  5      
1533.91653,7.984e-20,          0 1 0,          0 0 0,  3  2  1      ,  3  3  0      
1533.98553,3.694e-25,          0 1 0,          0 0 0, 15  4 11      , 15  5 10      
1534.393277,5.949e-28,          1 1 0,          1 0 0,  7  2  5      ,  7  3  4      
1534.404086,1.019e-29,          0 2 0,          0 1 0, 14  2 12      , 13  5  9      
1534.577412,3.491e-29,          1 1 0,          0 0 1,  7  3  4      ,  7  3  5      
1534.907919,1.135e-26,          0 1 0,          0 0 0, 14  9  6      , 14 10  5      
1534.911243,3.782e-27,          0 1 0,          0 0 0, 14  9  5      , 14 10  4      
1534.93547,2.482e-22,          0 2 0,          0 1 0,  1  0  1      ,  1  1  0      
1534.95261,2.855e-24,          0 1 0,          0 0 0, 11  5  6      , 12  4  9      
1535.060574,9.417e-30,          1 1 0,          0 2 0,  6  6  1      ,  7  7  0      
1535.250709,1.572e-28,          0 1 1,          0 0 1,  5  2  3      ,  5  3  2      
1535.436502,5.721e-29,          0 3 0,          0 2 0, 10  2  9      ,  9  3  6      
1535.47896,4.38e-21,          0 1 0,          0 0 0,  9  2  7      ,  9  3  6      
1535.719692,3.49e-27,          0 3 0,          0 2 0,  4  3  2      ,  5  2  3      
1535.828034,4.816e-29,          1 0 0,          0 1 0, 12  0 12      , 11  5  7      
1535.944989,5.181e-28,          0 1 1,          0 0 1,  5  1  4      ,  5  2  3      
1535.973872,4.145e-30,          0 1 1,          1 0 0,  2  0  2      ,  3  2  1      
1536.001953,1.572e-26,          0 1 0,          0 0 0, 13  9  5      , 13 10  4      
1536.00244,4.716e-26,          0 1 0,          0 0 0, 13  9  4      , 13 10  3      
1536.14928,3.27e-23,          0 1 0,          0 0 0,  6  1  5      ,  5  4  2      
1536.16626,3.443e-24,          0 1 0,          0 0 0,  8  2  6      ,  7  5  3      
1536.486373,1.415e-28,          0 2 0,          0 1 0, 13  2 11      , 12  5  8      
1536.8752,1.675e-22,          0 1 0,          0 0 0, 11  4  7      , 11  5  6      
1536.902387,2.019e-28,          0 1 0,          0 0 0, 18  5 13      , 18  6 12      
1536.908935,3.655e-25,          0 1 0,          0 0 0, 14  5  9      , 14  6  8      
1536.929688,4.372e-30,          1 1 0,          0 2 0,  8  5  4      ,  9  6  3      
1537.054821,5.519e-26,          0 1 0,          0 0 0, 12  9  3      , 12 10  2      
1537.055684,1.656e-25,          0 1 0,          0 0 0, 12  9  4      , 12 10  3      
1537.423533,4.331e-28,          0 3 0,          0 2 0,  5  3  3      ,  4  4  0      
1537.535938,7.203e-30,          0 1 1,          0 0 1,  9  3  6      ,  9  4  5      
1537.554055,2.318e-29,          1 1 0,          1 0 0,  6  4  3      ,  7  3  4      
1537.600271,2.266e-27,          0 1 0,          0 0 0, 17  6 11      , 17  7 10      
1537.8124,1.223e-22,          0 1 0,          0 0 0,  6  0  6      ,  5  3  3      
